TARGID, TARGNAME, GAIA_RA, GAIA_DEC, PROGTEMP, OBSTEMP, IFU_DITHER, HA_RANGE, IFU_PA_REQUEST
WA_J020011.19+373612.10, J020011.59+373612.9,  30.046625,  37.603361, 41331, NBCEC, 3, 2.0, 120.0
WA_J020126.54+284403.50, J020126.40+284409.4,  30.360583,  28.734306, 41331, NBCEC, 3, 2.0, 60.0
WA_J020344.83+381531.40, J020344.33+381544.2,  30.936792,  38.258722, 41331, NBCEC, 3, 2.0, 120.0
WA_J021612.79+323858.20, J021612.40+323859.6,  34.053292,  32.649500, 41331, NBCEC, 3, 2.0, 120.0
WA_J021851.25+334327.70, J021851.22+334325.7,  34.713542,  33.724361, 41331, NBCEC, 3, 2.0, 120.0
WA_J021952.72+290210.50, J021952.89+290205.7,  34.969667,  29.036250, 41331, NBCEC, 3, 2.0, -160.0
WA_J022205.07+335642.50, J022205.35+335641.6,  35.521125,  33.945139, 41331, NBCEC, 3, 2.0, 120.0
WA_J022240.47+282755.40, J022240.93+282758.8,  35.668625,  28.465389, 41331, NBCEC, 3, 2.0, 60.0
WA_J022434.11+331006.70, J022434.14+331008.5,  36.142125,  33.168528, 41331, NBCEC, 3, 2.0, 120.0
WA_J022453.25+431930.40, J022453.47+431928.4,  36.221875,  43.325111, 41331, NBCEC, 3, 2.0, 120.0
WA_J022516.26+420523.60, J022516.99+420530.2,  36.317750,  42.089889, 41331, NBCEC, 3, 2.0, 120.0
WA_J022600.49+392815.30, J022601.02+392818.5,  36.502042,  39.470917, 41331, NBCEC, 3, 2.0, 120.0
WA_J022605.18+420838.70, J022605.15+420844.7,  36.521583,  42.144083, 41331, NBCEC, 3, 2.0, 120.0
WA_J022646.33+415004.20, J022646.34+415003.4,  36.693042,  41.834500, 41331, NBCEC, 3, 2.0, 120.0
WA_J023222.68+421155.30, J023222.52+421153.1,  38.094500,  42.198694, 41331, NBCEC, 3, 2.0, 120.0
WA_J023425.80+325716.18, J023426.51+325730.1,  38.607510,  32.954494, 41331, NBCEC, 3, 2.0, 120.0
WA_J023436.83+345210.00, J023436.72+345206.9,  38.653458,  34.869444, 41331, NBCEC, 3, 2.0, 120.0
WA_J023503.19+412126.50, J023502.80+412153.8,  38.763292,  41.357361, 41331, NBCEC, 3, 2.0, 120.0
WA_J023524.87+405211.00, J023525.44+405226.3,  38.853625,  40.869722, 41331, NBCEC, 3, 2.0, 120.0
WA_J023623.67+314237.65, J023623.81+314235.5,  39.098608,  31.710459, 41331, NBCEC, 3, 2.0, 120.0
WA_J023632.10+313551.20, J023632.06+313547.5,  39.133750,  31.597556, 41331, NBCEC, 3, 2.0, 120.0
WA_J023836.98+320410.87, J023837.10+320415.8,  39.654084,  32.069685, 41331, NBCEC, 3, 2.0, 120.0
WA_J023914.91+300905.01, J023915.03+300849.6,  39.812139,  30.151393, 41331, NBCEC, 3, 2.0, 120.0
WA_J024019.19+321544.10, J024018.42+321541.6,  40.079958,  32.262250, 41331, NBCEC, 3, 2.0, 120.0
